fips,name,category,metro
13097,"Douglas County, Georgia",none,Metro
13099,"Early County, Georgia",both,Nonmetro
13101,"Echols County, Georgia",high,Metro
13103,"Effingham County, Georgia",none,Metro
13105,"Elbert County, Georgia",high,Nonmetro
13107,"Emanuel County, Georgia",both,Nonmetro
13109,"Evans County, Georgia",both,Nonmetro
13111,"Fannin County, Georgia",none,Nonmetro
13113,"Fayette County, Georgia",none,Metro
13115,"Floyd County, Georgia",none,Metro
13117,"Forsyth County, Georgia",none,Metro
13119,"Franklin County, Georgia",high,Nonmetro
13121,"Fulton County, Georgia",none,Metro
13123,"Gilmer County, Georgia",none,Nonmetro
13125,"Glascock County, Georgia",none,Nonmetro
13127,"Glynn County, Georgia",none,Metro
13129,"Gordon County, Georgia",none,Nonmetro
13131,"Grady County, Georgia",both,Nonmetro
13133,"Greene County, Georgia",persistent,Nonmetro
13135,"Gwinnett County, Georgia",none,Metro
13137,"Habersham County, Georgia",none,Nonmetro
13139,"Hall County, Georgia",none,Metro
13141,"Hancock County, Georgia",both,Nonmetro
13143,"Haralson County, Georgia",none,Metro
13145,"Harris County, Georgia",none,Metro
13147,"Hart County, Georgia",none,Nonmetro
13149,"Heard County, Georgia",none,Metro
13151,"Henry County, Georgia",none,Metro
13153,"Houston County, Georgia",none,Metro
13155,"Irwin County, Georgia",high,Nonmetro
13157,"Jackson County, Georgia",none,Nonmetro
13159,"Jasper County, Georgia",none,Metro
13161,"Jeff Davis County, Georgia",high,Nonmetro
13163,"Jefferson County, Georgia",both,Nonmetro
13165,"Jenkins County, Georgia",both,Nonmetro
13167,"Johnson County, Georgia",both,Nonmetro
13169,"Jones County, Georgia",none,Metro
13171,"Lamar County, Georgia",none,Metro
13173,"Lanier County, Georgia",high,Metro
13175,"Laurens County, Georgia",high,Nonmetro
13177,"Lee County, Georgia",none,Metro
13179,"Liberty County, Georgia",none,Metro
13181,"Lincoln County, Georgia",high,Metro
13183,"Long County, Georgia",none,Metro
13185,"Lowndes County, Georgia",high,Metro
13187,"Lumpkin County, Georgia",none,Nonmetro
13189,"McDuffie County, Georgia",high,Metro
13191,"McIntosh County, Georgia",none,Metro
13193,"Macon County, Georgia",both,Nonmetro
13195,"Madison County, Georgia",none,Metro
13197,"Marion County, Georgia",persistent,Metro
13199,"Meriwether County, Georgia",high,Metro
13201,"Miller County, Georgia",high,Nonmetro
13205,"Mitchell County, Georgia",both,Nonmetro
13207,"Monroe County, Georgia",none,Metro
13209,"Montgomery County, Georgia",none,Nonmetro
13211,"Morgan County, Georgia",none,Metro
13213,"Murray County, Georgia",none,Metro
13215,"Muscogee County, Georgia",high,Metro
13217,"Newton County, Georgia",none,Metro
13219,"Oconee County, Georgia",none,Metro
13221,"Oglethorpe County, Georgia",none,Metro
13223,"Paulding County, Georgia",none,Metro
13225,"Peach County, Georgia",both,Metro
13227,"Pickens County, Georgia",none,Metro
13229,"Pierce County, Georgia",high,Nonmetro
13231,"Pike County, Georgia",none,Metro
13233,"Polk County, Georgia",none,Nonmetro
13235,"Pulaski County, Georgia",high,Metro
13237,"Putnam County, Georgia",none,Nonmetro
13239,"Quitman County, Georgia",both,Nonmetro
13241,"Rabun County, Georgia",none,Nonmetro
13243,"Randolph County, Georgia",both,Nonmetro
13245,"Richmond County, Georgia",high,Metro
13247,"Rockdale County, Georgia",none,Metro
13249,"Schley County, Georgia",none,Nonmetro
13251,"Screven County, Georgia",both,Nonmetro
13253,"Seminole County, Georgia",both,Nonmetro
13255,"Spalding County, Georgia",none,Metro
13257,"Stephens County, Georgia",none,Nonmetro
13259,"Stewart County, Georgia",both,Nonmetro
13261,"Sumter County, Georgia",both,Nonmetro
13263,"Talbot County, Georgia",persistent,Nonmetro
13265,"Taliaferro County, Georgia",both,Nonmetro
13267,"Tattnall County, Georgia",both,Nonmetro
13269,"Taylor County, Georgia",both,Nonmetro
13271,"Telfair County, Georgia",both,Nonmetro
13273,"Terrell County, Georgia",both,Metro
13275,"Thomas County, Georgia",none,Nonmetro
13277,"Tift County, Georgia",high,Nonmetro
13279,"Toombs County, Georgia",both,Nonmetro
13281,"Towns County, Georgia",none,Nonmetro
13283,"Treutlen County, Georgia",both,Nonmetro
13285,"Troup County, Georgia",high,Nonmetro
13287,"Turner County, Georgia",both,Nonmetro
13289,"Twiggs County, Georgia",none,Metro
13291,"Union County, Georgia",none,Nonmetro
13293,"Upson County, Georgia",high,Nonmetro
13295,"Walker County, Georgia",none,Metro
13297,"Walton County, Georgia",none,Metro
13299,"Ware County, Georgia",both,Nonmetro
13301,"Warren County, Georgia",both,Nonmetro
13303,"Washington County, Georgia",both,Nonmetro
13305,"Wayne County, Georgia",none,Nonmetro
13307,"Webster County, Georgia",high,Nonmetro
13309,"Wheeler County, Georgia",both,Nonmetro
13311,"White County, Georgia",none,Nonmetro
13313,"Whitfield County, Georgia",none,Metro
13315,"Wilcox County, Georgia",both,Nonmetro
13317,"Wilkes County, Georgia",high,Nonmetro
13319,"Wilkinson County, Georgia",high,Nonmetro
13321,"Worth County, Georgia",none,Metro
16001,"Ada County, Idaho",none,Metro
16003,"Adams County, Idaho",none,Nonmetro
16005,"Bannock County, Idaho",none,Metro
16007,"Bear Lake County, Idaho",none,Nonmetro
16009,"Benewah County, Idaho",none,Nonmetro
16011,"Bingham County, Idaho",none,Nonmetro
16013,"Blaine County, Idaho",none,Nonmetro
16015,"Boise County, Idaho",none,Metro
16017,"Bonner County, Idaho",none,Nonmetro
16019,"Bonneville County, Idaho",none,Metro
16021,"Boundary County, Idaho",none,Nonmetro
16023,"Butte County, Idaho",none,Metro
16025,"Camas County, Idaho",none,Nonmetro
16027,"Canyon County, Idaho",none,Metro
16029,"Caribou County, Idaho",none,Nonmetro
16031,"Cassia County, Idaho",none,Nonmetro
16033,"Clark County, Idaho",none,Nonmetro
16035,"Clearwater County, Idaho",none,Nonmetro
16037,"Custer County, Idaho",none,Nonmetro
16039,"Elmore County, Idaho",none,Nonmetro
16041,"Franklin County, Idaho",none,Metro
16043,"Fremont County, Idaho",none,Nonmetro
16045,"Gem County, Idaho",none,Metro
16047,"Gooding County, Idaho",none,Nonmetro
16049,"Idaho County, Idaho",none,Nonmetro
16051,"Jefferson County, Idaho",none,Metro
16053,"Jerome County, Idaho",none,Nonmetro
16055,"Kootenai County, Idaho",none,Metro
16057,"Latah County, Idaho",none,Nonmetro
16059,"Lemhi County, Idaho",none,Nonmetro
16061,"Lewis County, Idaho",none,Nonmetro
16063,"Lincoln County, Idaho",none,Nonmetro
16065,"Madison County, Idaho",both,Nonmetro
16067,"Minidoka County, Idaho",none,Nonmetro
16069,"Nez Perce County, Idaho",none,Metro
16071,"Oneida County, Idaho",none,Nonmetro
16073,"Owyhee County, Idaho",none,Metro
16075,"Payette County, Idaho",none,Nonmetro
16077,"Power County, Idaho",none,Nonmetro
16079,"Shoshone County, Idaho",none,Nonmetro
16081,"Teton County, Idaho",none,Nonmetro
16083,"Twin Falls County, Idaho",none,Nonmetro
16085,"Valley County, Idaho",none,Nonmetro
16087,"Washington County, Idaho",none,Nonmetro
17001,"Adams County, Illinois",none,Nonmetro
17003,"Alexander County, Illinois",both,Metro
17005,"Bond County, Illinois",none,Metro
17007,"Boone County, Illinois",none,Metro
17009,"Brown County, Illinois",none,Nonmetro
17011,"Bureau County, Illinois",none,Nonmetro
17013,"Calhoun County, Illinois",none,Metro
17015,"Carroll County, Illinois",none,Nonmetro
17017,"Cass County, Illinois",none,Nonmetro
17019,"Champaign County, Illinois",high,Metro
17021,"Christian County, Illinois",none,Nonmetro
17023,"Clark County, Illinois",none,Nonmetro
17025,"Clay County, Illinois",none,Nonmetro
17027,"Clinton County, Illinois",none,Metro
17029,"Coles County, Illinois",high,Nonmetro
17031,"Cook County, Illinois",none,Metro
17033,"Crawford County, Illinois",none,Nonmetro
17035,"Cumberland County, Illinois",none,Nonmetro
17037,"DeKalb County, Illinois",none,Metro
17039,"De Witt County, Illinois",none,Metro
17041,"Douglas County, Illinois",none,Nonmetro
17043,"DuPage County, Illinois",none,Metro
17045,"Edgar County, Illinois",none,Nonmetro
17047,"Edwards County, Illinois",none,Nonmetro
17049,"Effingham County, Illinois",none,Nonmetro
17051,"Fayette County, Illinois",none,Nonmetro
17053,"Ford County, Illinois",none,Metro
17055,"Franklin County, Illinois",none,Nonmetro
17057,"Fulton County, Illinois",none,Nonmetro
17059,"Gallatin County, Illinois",high,Nonmetro
17061,"Greene County, Illinois",none,Nonmetro
17063,"Grundy County, Illinois",none,Metro
17065,"Hamilton County, Illinois",none,Nonmetro
17067,"Hancock County, Illinois",none,Nonmetro
